Aphid_species,Soil_conditioning,BlockNr,Block,Block_g,plantnr,cagenr,Days_after_inf,inductionnr,Aphid_number,notes
Bb,Aphid,1.1,1,1,1,1,8,1,1,
Bb,Aphid,1.1,1,1,1,2,8,1,1,
Bb,Aphid,1.2,1,1,2,1,8,1,5,
Bb,Aphid,1.2,1,1,2,2,8,1,4,
Bb,Aphid,2.3,2,1,3,1,8,1,5,
Bb,Aphid,2.3,2,1,3,2,8,1,1,
Bb,Aphid,2.4,2,1,4,1,8,1,2,
Bb,Aphid,2.4,2,1,4,2,8,1,1,
Bb,Aphid,3.5,3,2,5,1,8,1,3,
Bb,Aphid,4.6,4,2,6,1,8,1,1,Aphid escapes
Bb,Aphid,4.6,4,2,6,2,8,1,1,
Bb,Aphid,4.7,4,2,7,1,8,1,1,
Bb,Aphid,4.7,4,2,7,2,8,1,4,
Bb,Aphid,5.1,5,3,9,1,8,1,10,
Bb,Aphid,5.1,5,3,9,2,8,1,5,
Bb,Aphid,5.8,5,3,8,1,8,1,1,
Bb,Aphid,5.8,5,3,8,2,8,1,6,
Bb,Aphid,6.11,6,3,10,1,8,1,9,
Bb,Aphid,6.11,6,3,10,2,8,1,11,
Bb,CTRL,1.1,1,1,1,1,8,1,1,
Bb,CTRL,1.1,1,1,1,2,8,1,1,
Bb,CTRL,1.2,1,1,2,1,8,1,1,
Bb,CTRL,1.2,1,1,2,2,8,1,1,
Bb,CTRL,2.3,2,1,3,1,8,1,6,
Bb,CTRL,2.3,2,1,3,2,8,1,1,
Bb,CTRL,3.4,3,2,4,1,8,1,2,
Bb,CTRL,3.4,3,2,4,2,8,1,1,
Bb,CTRL,3.5,3,2,5,1,8,1,1,
Bb,CTRL,3.5,3,2,5,2,8,1,1,
Bb,CTRL,4.6,4,2,6,1,8,1,1,
Bb,CTRL,4.6,4,2,6,2,8,1,1,
Bb,CTRL,5.7,5,3,7,1,8,1,5,
Bb,CTRL,5.7,5,3,7,2,8,1,7,
Bb,CTRL,5.8,5,3,8,1,8,1,10,
Bb,CTRL,5.8,5,3,8,2,8,1,8,
Bb,CTRL,6.1,6,3,10,1,8,1,1,
Bb,CTRL,6.1,6,3,10,2,8,1,4,
Bb,CTRL,6.12,6,3,11,1,8,1,1,
Bb,CTRL,6.9,6,3,9,1,8,1,1,
Bb,CTRL,6.9,6,3,9,2,8,1,1,
Mp,Aphid,1.1,1,1,1,1,8,1,3,
Mp,Aphid,1.1,1,1,1,2,8,1,4,
Mp,Aphid,1.2,1,1,2,1,8,1,5,
Mp,Aphid,1.2,1,1,2,2,8,1,4,
Mp,Aphid,2.3,2,1,3,1,8,1,3,
Mp,Aphid,2.3,2,1,3,2,8,1,2,
Mp,Aphid,2.4,2,1,4,1,8,1,5,
