Aphid_species,Soil_conditioning,BlockNr,Block,Block_g,PlantNr,Days_After_Infestation,Shoot_biomass,Root_biomass
Bb,Aphid,1.1,1,1,1,14,0.8066,
Bb,Aphid,5.1,5,3,1,14,1.1978,
Bb,Aphid,1.2,1,1,2,14,0.8362,
Bb,Aphid,2.3,2,1,3,14,0.7732,
Bb,Aphid,2.4,2,1,4,14,0.9137,
Bb,Aphid,3.5,3,2,5,14,0.9349,
Bb,Aphid,4.6,4,2,6,14,0.9754,
Bb,Aphid,4.7,4,2,7,14,0.9894,
Bb,Aphid,5.8,5,3,8,14,1.0354,
Bb,Aphid,5.9,5,3,9,14,1.014,
Bb,Aphid,6.11,6,3,11,14,0.6723,
Bb,CTRL,1.1,1,1,1,14,0.5807,
Bb,CTRL,6.1,6,3,1,14,0.8836,
Bb,CTRL,1.2,1,1,2,14,0.7651,
Bb,CTRL,2.3,2,1,3,14,0.8727,
Bb,CTRL,3.4,3,2,4,14,1.0814,
Bb,CTRL,3.5,3,2,5,14,0.8521,
Bb,CTRL,4.6,4,2,6,14,1.1753,
Bb,CTRL,5.7,5,3,7,14,0.9671,
Bb,CTRL,5.8,5,3,8,14,0.8861,
Bb,CTRL,6.9,6,3,9,14,0.7704,
Bb,CTRL,6.12,6,3,12,14,0.8632,0.2045
Mp,Aphid,1.1,1,1,1,14,0.8293,0.287
Mp,Aphid,5.1,5,3,1,14,0.8271,0.2421
Mp,Aphid,1.2,1,1,2,14,0.7661,0.2249
Mp,Aphid,2.3,2,1,3,14,0.6368,0.1546
Mp,Aphid,2.4,2,1,4,14,0.7139,0.2317
Mp,Aphid,2.5,2,1,5,14,0.8928,0.2241
Mp,Aphid,3.6,3,2,6,14,0.8391,0.2901
Mp,Aphid,3.7,3,2,7,14,1.0287,0.3501
Mp,Aphid,4.8,4,2,8,14,0.8552,0.2044
Mp,Aphid,5.9,5,3,9,14,0.9871,0.2366
Mp,Aphid,6.11,6,3,11,14,0.9248,0.2152
Mp,CTRL,1.1,1,1,1,14,1.0403,0.2127
Mp,CTRL,6.1,6,3,1,14,1.097,0.2428
Mp,CTRL,1.2,1,1,2,14,0.9902,0.2528
Mp,CTRL,2.3,2,1,3,14,1.0125,0.2978
Mp,CTRL,3.4,3,2,4,14,1.0504,0.174
Mp,CTRL,3.5,3,2,5,14,0.9083,0.21
Mp,CTRL,4.6,4,2,6,14,0.9583,0.2564
Mp,CTRL,4.7,4,2,7,14,0.9876,0.2599
Mp,CTRL,4.8,4,2,8,14,1.1208,0.2918
Mp,CTRL,5.9,5,3,9,14,0.9339,0.3104
Mp,CTRL,6.11,6,3,11,14,0.8634,0.2186
MpN,Aphid,1.1,1,1,1,14,0.8272,0.2165
MpN,Aphid,6.1,6,3,1,14,0.7653,0.1931
MpN,Aphid,1.2,1,1,2,14,0.8184,0.2004
MpN,Aphid,2.3,2,1,3,14,0.7726,0.1998
MpN,Aphid,3.4,3,2,4,14,1.033,0.2724
MpN,Aphid,3.5,3,2,5,14,0.9723,0.2106
MpN,Aphid,5.7,5,3,7,14,0.8261,0.1606
MpN,Aphid,6.8,6,3,8,14,0.9745,0.2211
MpN,Aphid,6.9,6,3,9,14,0.9066,0.2175
MpN,Aphid,6.11,6,3,11,14,0.899,0.2117
MpN,Aphid,6.12,6,3,12,14,0.7321,0.1461
MpN,CTRL,1.1,1,1,1,14,0.7619,0.1765
MpN,CTRL,5.1,5,3,1,14,0.9517,0.1927
MpN,CTRL,2.2,2,1,2,14,1.1911,0.2665
MpN,CTRL,2.3,2,1,3,14,1.0041,0.2379
MpN,CTRL,3.4,3,2,4,14,0.9978,0.3219
MpN,CTRL,3.5,3,2,5,14,0.8831,0.2241
MpN,CTRL,4.6,4,2,6,14,1.0482,0.2057
MpN,CTRL,4.7,4,2,7,14,1.0336,0.206
MpN,CTRL,5.8,5,3,8,14,0.8982,0.231
MpN,CTRL,5.9,5,3,9,14,1.0089,0.1677
MpN,CTRL,6.11,6,3,11,14,0.8587,0.211
