Caterpillar_species,Soil_conditioning,Block,Block_g,PlantNr,Total_Leaf_Area ,Consumed_Leaf_Area,Percent_Consumed
Ag,CTRL,1,1,1,90.69,5.253,5.79
Ag,CTRL,1,1,2,51.768,3.695,7.14
Ag,CTRL,2,1,3,100.846,5.215,5.17
Ag,CTRL,2,1,4,60.177,4.423,7.35
Ag,CTRL,3,2,5,91.401,2.078,2.27
Ag,CTRL,3,2,6,108.851,4.605,4.23
Ag,CTRL,4,2,7,98.465,4.229,4.29
Ag,CTRL,4,2,8,92.073,1.016,1.1
Ag,CTRL,5,3,9,76.469,8.212,10.74
Ag,CTRL,5,3,10,91.094,9.19,10.09
Ag,CTRL,5,3,11,55.756,3.418,6.13
Ag,CTRL,5,3,12,56.293,2.247,3.99
Ag,Cat,1,1,1,73.242,4.444,6.07
Ag,Cat,1,1,2,88.387,3.812,4.31
Ag,Cat,2,1,3,89.297,2.83,3.17
Ag,Cat,2,1,4,103.414,2.125,2.05
Ag,Cat,3,1,5,113.308,1.662,1.47
Ag,Cat,4,2,7,99.69,4.754,4.77
Ag,Cat,4,2,8,56.497,2.594,4.59
Ag,Cat,5,3,9,50.375,6.342,12.59
Ag,Cat,5,3,10,81.35,9.615,11.82
Mb,CTRL,1,1,1,78.706,16.541,21.02
Mb,CTRL,1,1,2,92.653,5.246,5.66
Mb,CTRL,2,1,3,77.009,5.162,6.7
Mb,CTRL,2,1,4,66.053,5.258,7.96
Mb,CTRL,3,2,5,85.535,5.785,6.76
Mb,CTRL,3,2,6,67.282,5.879,8.74
Mb,CTRL,4,2,7,85.845,4.989,5.81
Mb,CTRL,4,2,8,72.86,2.019,2.77
Mb,CTRL,5,3,9,88.874,7.357,8.28
Mb,CTRL,5,3,10,77.192,3.373,4.37
Mb,CTRL,6,3,11,38.641,5.022,13
Mb,CTRL,6,3,13,44.772,6.44,14.38
Mb,Cat,1,1,2,103.201,4.164,4.03
Mb,Cat,2,1,3,87.281,3.112,3.57
Mb,Cat,2,1,4,44.583,5.018,11.26
Mb,Cat,3,2,5,108.956,1.898,1.74
Mb,Cat,3,2,6,104.025,3.146,3.02
Mb,Cat,4,2,7,114.524,0.982,0.86
Mb,Cat,4,2,8,76.684,4.125,5.38
Mb,Cat,5,3,10,109.998,1.799,1.64
Pb,CTRL,1,1,1,102.905,20.414,19.84
Pb,CTRL,1,1,2,82.57,5.123,6.2
Pb,CTRL,2,1,3,56.555,3.671,6.49
Pb,CTRL,2,1,4,52.56,6.195,11.79
Pb,CTRL,3,2,5,58.817,4.455,7.57
Pb,CTRL,3,2,6,75.539,7.389,9.78
Pb,CTRL,4,2,7,57.042,4.234,7.42
Pb,CTRL,4,2,8,108.606,2.909,2.68
Pb,CTRL,5,3,9,41.173,5.481,13.31
Pb,CTRL,5,3,10,65.929,5.476,8.31
Pb,CTRL,6,3,11,32.828,5.075,15.46
Pb,CTRL,6,3,12,27.094,5.953,21.97
Pb,Cat,1,1,1,90.891,6.829,7.51
Pb,Cat,1,1,2,75.219,6.588,8.76
Pb,Cat,2,1,3,76.681,7.03,9.17
Pb,Cat,2,1,4,41.083,6.76,16.45
Pb,Cat,3,2,5,78.668,7.653,9.73
Pb,Cat,3,2,6,90.409,4.432,4.9
Pb,Cat,4,2,7,105.241,4.731,4.5
Pb,Cat,4,2,8,61.764,3.858,6.25
Pb,Cat,5,3,9,43.559,4.469,10.26
Pb,Cat,5,3,10,65.49,3.318,5.07
Px,CTRL,1,1,1,29.305,2.15,7.34
Px,CTRL,1,1,2,51.049,2.993,5.86
Px,CTRL,2,1,3,96.618,0.455,0.47
Px,CTRL,2,1,4,41.551,,
Px,CTRL,3,2,5,17.665,1.246,7.05
Px,CTRL,3,2,6,81.196,2.226,2.74
Px,CTRL,4,2,7,87.165,1.959,2.25
Px,CTRL,4,2,8,101.002,2.103,2.08
Px,CTRL,5,3,9,59.528,1.456,2.45
Px,CTRL,5,3,10,85.997,1.424,1.66
Px,CTRL,6,3,11,64.577,0.141,0.22
Px,CTRL,6,3,12,53.3,,
Px,Cat,1,1,1,28.432,0.942,3.31
Px,Cat,1,1,2,68.717,1.332,1.94
Px,Cat,2,1,3,61.843,2.128,3.44
Px,Cat,2,1,4,23.806,2.14,8.99
Px,Cat,3,2,5,95.503,1.272,1.33
Px,Cat,3,2,6,90.672,0.7,0.77
Px,Cat,4,2,7,104.524,0.037,0.04
Px,Cat,4,2,8,90.645,0.633,0.7
Px,Cat,5,3,9,59.903,3.624,6.05
Px,Cat,5,3,10,54.635,1.625,2.97
Px,Cat,6,3,11,40.103,0.045,0.11
Px,Cat,6,3,12,41.199,0.025,0.06
