Caterpillar_species,Soil_conditioning,Block,Block_g,PlantNr,InfestationNr,Weight,Survival,Note
Ag,Cat,1,1,1,1,23.637,1,
Ag,Cat,1,1,2,1,15.842,1,
Ag,Cat,2,1,3,1,19.052,1,
Ag,Cat,2,1,4,1,14.321,1,
Ag,Cat,3,2,5,1,7.871,1,
Ag,Cat,3,2,6,1,,0,
Ag,Cat,4,2,7,1,40.688,1,
Ag,Cat,4,2,8,1,13.346,1,
Ag,Cat,5,3,9,1,30.337,1,
Ag,Cat,5,3,10,1,47.121,1,
Ag,CTRL,1,1,1,1,34.477,1,
Ag,CTRL,1,1,2,1,14.984,1,
Ag,CTRL,2,1,3,1,23.33,1,
Ag,CTRL,2,1,4,1,42.848,1,
Ag,CTRL,3,2,5,1,13.561,1,
Ag,CTRL,3,2,6,1,32.161,1,
Ag,CTRL,4,2,7,1,30.335,1,
Ag,CTRL,4,2,8,1,,0,
Ag,CTRL,5,3,9,1,45.051,1,
Ag,CTRL,5,3,10,2,23.499,1,
Ag,CTRL,5,3,10,2,19.933,1,
Ag,CTRL,6,3,11,1,15.274,1,
Ag,CTRL,6,3,12,1,11.851,1,
Mb,Cat,1,1,1,1,,0,
Mb,Cat,1,1,2,1,45.289,1,
Mb,Cat,2,1,3,1,26.983,1,
Mb,Cat,2,1,4,1,33.592,1,
Mb,Cat,3,2,5,1,17.408,1,
Mb,Cat,3,2,6,1,27.036,1,
Mb,Cat,4,2,7,1,6.689,1,
Mb,Cat,4,2,8,1,36.378,1,
Mb,Cat,4,2,9,1,,0,
Mb,Cat,5,3,10,1,11.465,1,
Mb,CTRL,1,1,1,1,46.45,1,
Mb,CTRL,1,1,1,1,44.325,1,
Mb,CTRL,1,1,2,1,43.62,1,
Mb,CTRL,2,1,3,1,39.325,1,
Mb,CTRL,2,1,4,1,32.272,1,
Mb,CTRL,3,2,5,1,46.017,1,
Mb,CTRL,3,2,6,1,40.966,1,
Mb,CTRL,4,2,7,1,33.677,1,
Mb,CTRL,4,2,8,1,13.061,1,
Mb,CTRL,5,3,9,1,45.375,1,
Mb,CTRL,5,3,10,1,22.175,1,
Mb,CTRL,6,3,11,1,25.395,1,
Mb,CTRL,6,3,13,1,37.933,1,
Pb,Cat,1,1,1,1,76.804,1,
Pb,Cat,1,1,2,1,27.262,1,
Pb,Cat,2,1,3,1,29.292,1,
Pb,Cat,2,1,4,1,38.377,1,
Pb,Cat,3,2,5,1,45.246,1,
Pb,Cat,3,2,6,1,35.576,1,
Pb,Cat,4,2,7,1,27.783,1,
Pb,Cat,4,2,8,1,13.291,1,
Pb,Cat,5,3,9,1,53.7,1,
Pb,Cat,5,3,10,1,14.626,1,
Pb,CTRL,1,1,1,1,29.304,1,
Pb,CTRL,1,1,2,1,29.62,1,
Pb,CTRL,2,1,3,1,26.869,1,
Pb,CTRL,2,1,4,1,26.555,1,
Pb,CTRL,3,2,5,1,26.889,1,
Pb,CTRL,3,2,6,1,31.528,1,
Pb,CTRL,4,2,7,1,66.41,1,
Pb,CTRL,4,2,8,1,14.043,1,
Pb,CTRL,5,3,9,1,19.117,1,
Pb,CTRL,5,3,10,1,25.987,1,
Pb,CTRL,6,3,11,1,37.859,1,
Pb,CTRL,6,3,12,1,29.924,1,
Px,Cat,1,1,1,1,4.081,1,
Px,Cat,1,1,2,1,4.088,1,
Px,Cat,2,1,3,1,4.778,1,
Px,Cat,2,1,4,1,6.042,1,
Px,Cat,3,2,5,1,5.982,1,
Px,Cat,3,2,6,1,3.946,1,
Px,Cat,3,2,7,1,,0,
Px,Cat,4,2,8,2,5.025,1,
Px,Cat,4,2,8,2,3.845,1,
Px,Cat,4,2,9,1,,0,
Px,Cat,5,3,10,1,4.653,1,
Px,Cat,5,3,11,1,,0,
Px,Cat,5,3,12,1,,0,
Px,CTRL,1,1,1,1,6.497,1,
Px,CTRL,1,1,2,1,0.303,1,
Px,CTRL,1,1,2,1,2.6,1,
Px,CTRL,2,1,3,1,5.484,1,
Px,CTRL,2,1,4,1,,0,
Px,CTRL,3,2,5,1,5.374,1,
Px,CTRL,3,2,6,1,5.672,1,
Px,CTRL,4,2,7,1,5.628,1,
Px,CTRL,4,2,8,1,1.505,1,
Px,CTRL,5,3,9,1,3.998,1,
Px,CTRL,5,3,10,1,5.605,1,
